disease,symptoms
"Road rage, also known asIntermittent explosive disorder","Rage, Irritability, Increased energy, Racing thoughts, Tingling, Tremors, Palpitations, Chest tightness"
Rosacea,"Facial blushing or flushing. Rosacea can cause a persistent blushing or flushing in the central part of your face. This sign of the condition may be difficult to see on brown and Black skin., Visible veins. Small blood vessels of your nose and cheeks break and become visible (spider veins)., Swollen bumps. Many people with rosacea also develop pimples on their face that resemble acne. These bumps sometimes contain pus., Burning sensation. The skin of the affected area may feel hot and tender., Eye problems. Many people with rosacea also experience dry, irritated, swollen eyes and eyelids. This is known as ocular rosacea. In some people, the eye symptoms precede the skin symptoms., Enlarged nose. Over time, rosacea can thicken the skin on the nose, causing the nose to appear bulbous (rhinophyma). This occurs more often in men than in women."
Roseola,"Fever. Roseola often starts with a high fever — often higher than 103 F (39.4 C). It starts suddenly and lasts 3 to 5 days. Some children also may have a sore throat, runny nose or cough along with or before the fever. Your child may also develop swollen lymph nodes in the neck., Rash. After the fever goes away, a rash often appears. A roseola rash is many small spots or patches. These spots tend to be flat.
The rash often starts on the chest, back and belly and then spreads to the neck and arms. It might reach the legs and face. The rash isn't likely to be itchy or painful. It can last hours or days. The rash might occur without a fever first."
Rotator cuff injury,"Be described as a dull ache deep in the shoulder, Disturb sleep, Make it difficult to comb your hair or reach behind your back, Be accompanied by arm weakness"
Rotavirus,"Has diarrhea for more than 24 hours, Vomits frequently, Has black or tarry stool or stool containing blood or pus, Has a temperature of 102 F (38.9 C) or higher, Seems tired, irritable or in pain, Has signs or symptoms of dehydration, including dry mouth, crying without tears, little or no urination, unusual sleepiness, or unresponsiveness"
"Round back, also known asKyphosis","Fractures. Broken vertebrae can result in curvature of the spine. Compression fractures, which can occur in weakened bone, are the most common. Mild compression fractures often don't produce noticeable signs or symptoms., Osteoporosis. Weak bones can cause spinal curvature, especially if weakened vertebrae develop compression fractures. Osteoporosis is most common in older women and people who have taken corticosteroids for long periods of time., Disk degeneration. Soft, circular disks act as cushions between spinal vertebrae. With age, these disks flatten and shrink, which often worsens kyphosis., Scheuermann's disease. Also called Scheuermann's kyphosis, this disease typically begins during the growth spurt that occurs before puberty., Other problems. Spinal bones that don't develop properly before birth can cause kyphosis. Kyphosis in children can also be associated with certain medical conditions, such as Ehlers-Danlos syndrome."
"RSV, also known asRespiratory syncytial virus (RSV)","Congested or runny nose, Dry cough, Low-grade fever, Sore throat, Sneezing, Headache"
Rubella,"Mild fever of 102 F (38.9 C) or lower, Headache, Stuffy or runny nose, Red, itchy eyes, Enlarged, tender lymph nodes at the base of the skull, the back of the neck and behind the ears, A fine, pink rash that begins on the face and quickly spreads to the trunk and then the arms and legs, before disappearing in the same order, Aching joints, especially in young women"
"Rubeola, also known asMeasles","Fever, Dry cough, Runny nose, Sore throat, Inflamed eyes (conjunctivitis), Tiny white spots with bluish-white centers on a red background found inside the mouth on the inner lining of the cheek — also called Koplik's spots, A skin rash made up of large, flat blotches that often flow into one another"
Rumination syndrome,"Effortless regurgitation, typically within 10 minutes of eating, Abdominal pain or pressure relieved by regurgitation, A feeling of fullness, Bad breath, Nausea, Unintentional weight loss"
"Runner's knee, also known asPatellofemoral pain syndrome","Walking up or down stairs., Kneeling or squatting., Sitting with a bent knee for long periods of time."
"Ruptured disk, also known asHerniated disk","Arm or leg pain. If your herniated disk is in your lower back, besides pain in your lower back, you'll typically feel pain in your buttocks, thigh and calf. You might have pain in part of the foot as well.
For a herniated disk in your neck, you'll typically feel the most pain in your shoulder and arm. This pain might shoot into your arm or leg when you cough, sneeze or move into certain positions. Pain is often described as sharp or burning., Numbness or tingling. People who have a herniated disk often have radiating numbness or tingling in the body part served by the affected nerves., Weakness. Muscles served by the affected nerves tend to weaken. This can cause you to stumble, or affect your ability to lift or hold items."
Ruptured eardrum (perforated eardrum),"Ear pain that may subside quickly, Mucuslike, pus-filled or bloody drainage from the ear, Hearing loss, Ringing in the ear (tinnitus), Spinning sensation (vertigo), Nausea or vomiting that can result from vertigo"
Ruptured spleen,"Pain in the upper left abdomen, Tenderness when you touch the upper left abdomen, Left shoulder pain, Confusion, lightheadedness or dizziness"
Sacral dimple,"Spina bifida. A very mild form of this condition, called spina bifida occulta, occurs when the spine doesn't close properly around the spinal cord, but the cord remains within the spinal canal. In most cases, spina bifida occulta causes no symptoms and doesn't need treatment., Tethered cord syndrome. The spinal cord normally hangs freely within the spinal canal. Tethered cord syndrome is a disorder that occurs when tissue attached to the spinal cord limits its movements. Signs and symptoms may include weakness or numbness in the legs and bladder or bowel incontinence."
Sacroiliitis,"Sleeping or sitting for a long time., Standing a long time., Having more weight on one leg than the other., Stair climbing., Running., Taking large steps when moving forward."
"SAD, also known asSeasonal affective disorder (SAD)","Feeling listless, sad or down most of the day, nearly every day, Losing interest in activities you once enjoyed, Having low energy and feeling sluggish, Having problems with sleeping too much, Experiencing carbohydrate cravings, overeating and weight gain, Having difficulty concentrating, Feeling hopeless, worthless or guilty, Having thoughts of not wanting to live"
Salivary gland tumors,"A lump or swelling on or near your jaw or in your neck or mouth, Numbness in part of your face, Muscle weakness on one side of your face, Persistent pain in the area of a salivary gland, Difficulty swallowing, Trouble opening your mouth widely"
Salmonella infection,"Diarrhea, Stomach (abdominal) cramps, Fever, Nausea, Vomiting, Chills, Headache, Blood in the stool"
"Salmonellosis, also known asSalmonella infection","Diarrhea, Stomach (abdominal) cramps, Fever, Nausea, Vomiting, Chills, Headache, Blood in the stool"
Sarcoidosis,"Fatigue, Swollen lymph nodes, Weight loss, Pain and swelling in joints, such as the ankles"
Sarcoma,"A lump that can be felt through the skin that may or may not be painful, Bone pain, A broken bone that happens unexpectedly, such as with a minor injury or no injury at all, Abdominal pain, Weight loss"
"Sarcoma, bone cancer, also known asBone cancer","Bone pain, Swelling and tenderness near the affected area, Weakened bone, leading to fracture, Fatigue, Unintended weight loss"
"Sarcoma, soft tissue, also known asSoft tissue sarcoma","A noticeable lump or swelling, Pain, if a tumor presses on nerves or muscles"
"SBBO, also known asSmall intestinal bacterial overgrowth (SIBO)","Loss of appetite, Abdominal pain, Nausea, Bloating, An uncomfortable feeling of fullness after eating, Diarrhea, Unintentional weight loss, Malnutrition"
Scabies,"Itching, often severe and usually worse at night, Thin, wavy tunnels made up of tiny blisters or bumps on the skin"
"SCAD, also known asSpontaneous coronary artery dissection (SCAD)","Chest pain, A rapid heartbeat or fluttery feeling in the chest, Pain in the arms, shoulders, back or jaw, Shortness of breath, Sweating, Unusual, extreme tiredness, Nausea, Dizziness"
"Scalded mouth syndrome, also known asBurning mouth syndrome","A burning or scalding feeling that most commonly affects your tongue, but also may affect your lips, gums, roof of your mouth, throat or whole mouth., A feeling of dry mouth with increased thirst., Taste changes in your mouth, such as a bitter or metallic taste., Loss of taste., Tingling, stinging or numbness in your mouth."
"Scarlatina, also known asScarlet fever","Red rash. The rash looks like a sunburn and feels like sandpaper. It typically begins on the face or neck and spreads to the trunk, arms and legs. Pushing on the reddened skin makes it turn pale., Red lines. The folds of skin around the groin, armpits, elbows, knees and neck usually become a deeper red than the other areas with the rash., Flushed face. The face may appear flushed with a pale ring around the mouth., Strawberry tongue. The tongue generally looks red and bumpy, and it's often covered with a white coating early in the disease."
Scarlet fever,"Red rash. The rash looks like a sunburn and feels like sandpaper. It typically begins on the face or neck and spreads to the trunk, arms and legs. Pushing on the reddened skin makes it turn pale., Red lines. The folds of skin around the groin, armpits, elbows, knees and neck usually become a deeper red than the other areas with the rash., Flushed face. The face may appear flushed with a pale ring around the mouth., Strawberry tongue. The tongue generally looks red and bumpy, and it's often covered with a white coating early in the disease."
Schizoaffective disorder,"Delusions — having false, fixed beliefs, despite evidence to the contrary, Hallucinations, such as hearing voices or seeing things that aren't there, Impaired communication and speech, such as being incoherent, Bizarre or unusual behavior, Symptoms of depression, such as feeling empty, sad or worthless, Periods of manic mood, with an increase in energy and a decreased need for sleep over several days, and behaviors that are out of character, Impaired occupational, academic and social functioning, Problems with managing personal care, including cleanliness and physical appearance"
Schizoid personality disorder,"Prefer being alone and choose to do activities alone, Don't want or enjoy close relationships, Feel little if any desire for sexual relationships, Feel like you can't experience pleasure, Have difficulty expressing emotions and reacting appropriately to situations, May seem humorless, indifferent or emotionally cold to others, May appear to lack motivation and goals, Don't react to praise or critical remarks from others"
Schizophrenia,"Delusions. These are false beliefs that are not based in reality. For example, you think that you're being harmed or harassed; certain gestures or comments are directed at you; you have exceptional ability or fame; another person is in love with you; or a major catastrophe is about to occur. Delusions occur in most people with schizophrenia., Hallucinations. These usually involve seeing or hearing things that don't exist. Yet for the person with schizophrenia, they have the full force and impact of a normal experience. Hallucinations can be in any of the senses, but hearing voices is the most common hallucination., Disorganized thinking (speech). Disorganized thinking is inferred from disorganized speech. Effective communication can be impaired, and answers to questions may be partially or completely unrelated. Rarely, speech may include putting together meaningless words that can't be understood, sometimes known as word salad., Extremely disorganized or abnormal motor behavior. This may show in a number of ways, from childlike silliness to unpredictable agitation. Behavior isn't focused on a goal, so it's hard to do tasks. Behavior can include resistance to instructions, inappropriate or bizarre posture, a complete lack of response, or useless and excessive movement., Negative symptoms. This refers to reduced or lack of ability to function normally. For example, the person may neglect personal hygiene or appear to lack emotion (doesn't make eye contact, doesn't change facial expressions or speaks in a monotone). Also, the person may lose interest in everyday activities, socially withdraw or lack the ability to experience pleasure."
"Schizophrenia, adolescent, also known asChildhood schizophrenia","Problems with thinking and reasoning, Bizarre ideas or speech, Confusing dreams or television for reality"
"Schizophrenia, childhood, also known asChildhood schizophrenia","Problems with thinking and reasoning, Bizarre ideas or speech, Confusing dreams or television for reality"
"Schizophrenia, juvenile, also known asChildhood schizophrenia","Problems with thinking and reasoning, Bizarre ideas or speech, Confusing dreams or television for reality"
Schizotypal personality disorder,"Being a loner and lacking close friends outside of the immediate family, Flat emotions or limited or inappropriate emotional responses, Persistent and excessive social anxiety, Incorrect interpretation of events, such as a feeling that something that is actually harmless or inoffensive has a direct personal meaning, Peculiar, eccentric or unusual thinking, beliefs or mannerisms, Suspicious or paranoid thoughts and constant doubts about the loyalty of others, Belief in special powers, such as mental telepathy or superstitions, Unusual perceptions, such as sensing an absent person's presence or having illusions, Dressing in peculiar ways, such as appearing unkempt or wearing oddly matched clothes, Peculiar style of speech, such as vague or unusual patterns of speaking, or rambling oddly during conversations"
"SCI, also known asSpinal cord injury","Complete. If all feeling (sensory) and all ability to control movement (motor function) are lost below the spinal cord injury, your injury is called complete., Incomplete. If you have some motor or sensory function below the affected area, your injury is called incomplete. There are varying degrees of incomplete injury."
Sciatica,"Sudden, severe pain in the low back or a leg and numbness or muscle weakness in a leg, Pain after a violent injury, such as a traffic accident, Trouble controlling bowels or bladder"
Scleroderma,"Heartburn, Difficulty swallowing, Bloating, Diarrhea, Constipation, Fecal incontinence"
"Sclerosing cholangitis, also known asPrimary sclerosing cholangitis","Fatigue, Itching, Yellow eyes and skin (jaundice), Abdominal pain"
Sclerosing mesenteritis,Mesentery
"Sclerosis, multiple, also known asMultiple sclerosis","Numbness or weakness in one or more limbs that typically occurs on one side of your body at a time, Tingling, Electric-shock sensations that occur with certain neck movements, especially bending the neck forward (Lhermitte sign), Lack of coordination, Unsteady gait or inability to walk, Partial or complete loss of vision, usually in one eye at a time, often with pain during eye movement, Prolonged double vision, Blurry vision, Vertigo, Problems with sexual, bowel and bladder function, Fatigue, Slurred speech, Cognitive problems, Mood disturbances"
"Sclerosis, systemic, also known asScleroderma","Heartburn, Difficulty swallowing, Bloating, Diarrhea, Constipation, Fecal incontinence"
Scoliosis,"Uneven shoulders, One shoulder blade that appears more prominent than the other, Uneven waist, One hip higher than the other, One side of the rib cage jutting forward, A prominence on one side of the back when bending forward"
Scorpion sting,"Pain, which can be intense, Numbness and tingling, Slight swelling, Warmth"
Scrotal masses,"An unusual lump, Sudden pain, A dull aching pain or feeling of heaviness in the scrotum, Pain that radiates throughout the groin, abdomen or lower back, Tender, swollen or hardened testicle, Tender, swollen or hardened epididymis (ep-ih-DID-uh-miss), the soft, comma-shaped tube above and behind the testicle that stores and transports sperm, Swelling in the scrotum, Redness of the skin of the scrotum, Nausea or vomiting"
Seasonal affective disorder (SAD),"Feeling listless, sad or down most of the day, nearly every day, Losing interest in activities you once enjoyed, Having low energy and feeling sluggish, Having problems with sleeping too much, Experiencing carbohydrate cravings, overeating and weight gain, Having difficulty concentrating, Feeling hopeless, worthless or guilty, Having thoughts of not wanting to live"
"Seasonal allergy, also known asHay fever","Runny nose and nasal stuffiness (congestion), Watery, itchy, red eyes (allergic conjunctivitis), Sneezing, Cough, Itchy nose, roof of mouth or throat, Mucus that runs down the back of your throat (postnasal drip), Swollen, bruised-appearing skin under the eyes (allergic shiners), Extreme tiredness (fatigue), often due to poor sleep"
"Sebaceous cysts, also known asEpidermoid cysts","A small, round bump under the skin, usually on the face, neck or trunk, A tiny blackhead plugging the central opening of the cyst, A thick, yellow, smelly material that sometimes drains from the cyst, Redness, swelling and tenderness in the area, if inflamed or infected"
Seborrheic dermatitis,"Flaking skin (dandruff) on your scalp, hair, eyebrows, beard or mustache, Patches of greasy skin covered with flaky white or yellow scales or crust on the scalp, face, sides of the nose, eyebrows, ears, eyelids, chest, armpits, groin area or under the breasts, Rash that may look darker or lighter in people with brown or Black skin and redder in those with white skin, Ring-shaped (annular) rash, for a type called petaloid seborrheic dermatitis, Itchiness (pruritus)"
Seborrheic keratosis,"A round or oval-shaped waxy or rough bump, typically on the face, chest, a shoulder or the back, A flat growth or a slightly raised bump with a scaly surface, with a characteristic ""pasted on"" look, Varied size, from very small to more than 1 inch (2.5 centimeters) across, Varied number, ranging from a single growth to multiple growths, Very small growths clustered around the eyes or elsewhere on the face, sometimes called flesh moles or dermatosis papulosa nigra, common on Black or brown skin, Varied in color, ranging from light tan to brown or black, Itchiness"
"Secondary brain cancer, also known asBrain metastases","Headache, sometimes with vomiting or nausea, Mental changes, such as increasing memory problems, Seizures, Weakness or numbness on one side of the body"
Secondary hypertension,"High blood pressure that doesn't respond to blood pressure medications (resistant hypertension), Very high blood pressure — systolic blood pressure over 180 millimeters of mercury (mm Hg) or diastolic blood pressure over 120 mm Hg, High blood pressure that no longer responds to medication that previously controlled the blood pressure, Sudden-onset high blood pressure before age 30 or after age 55, No family history of high blood pressure, No obesity"
"SEID, also known asChronic fatigue syndrome","Extreme exhaustion after physical or mental exercise., Problems with memory or thinking skills., Dizziness that worsens with moving from lying down or sitting to standing., Muscle or joint pain., Unrefreshing sleep."
"Seizure disorder, also known asEpilepsy","Temporary confusion, A staring spell, Stiff muscles, Uncontrollable jerking movements of the arms and legs, Loss of consciousness or awareness, Psychological symptoms such as fear, anxiety or deja vu"
"Seizure, absence, also known asAbsence seizure","A sudden stop in activity without falling., Lip smacking., Eyelid flutters., Chewing motions., Finger rubbing., Small movements of both hands."
"Seizure, febrile, also known asFebrile seizure","Have a fever higher than 100.4 F (38.0 C), Lose consciousness, Shake or jerk the arms and legs"
"Seizure, grand mal, also known asGrand mal seizure","Tonic phase. Loss of consciousness occurs, and the muscles suddenly contract and cause the person to fall down. This phase tends to last about 10 to 20 seconds., Clonic phase. The muscles go into rhythmic contractions, alternately flexing and relaxing. Convulsions usually last one to two minutes or less."
"Seizure, petit mal, also known asAbsence seizure","A sudden stop in activity without falling., Lip smacking., Eyelid flutters., Chewing motions., Finger rubbing., Small movements of both hands."
"Seizure, temporal lobe, also known asTemporal lobe seizure","A sudden sense of fear or joy., A feeling that what's happening has happened before, known as deja vu., A sudden or strange odor or taste., A rising sensation in the belly similar to being on a roller coaster."
Seizures,"Temporary confusion., A staring spell., Jerking movements of the arms and legs that can't be controlled., Loss of consciousness or awareness., Cognitive or emotional changes. They may include fear, anxiety or a feeling that you've already lived this moment, known as deja vu."
"Self harming, also known asSelf-injury/cutting","Scars, often in patterns., Fresh cuts, scratches, bruises, bite marks or other wounds., Excessive rubbing of an area to create a burn., Keeping sharp objects or other items used for self-injury on hand., Wearing long sleeves or long pants to hide self-injury, even in hot weather., Frequent reports of accidental injury., Difficulties in relationships with others., Behaviors and emotions that change quickly and are impulsive, intense and unexpected., Talk of helplessness, hopelessness or worthlessness."
Self-injury/cutting,"Scars, often in patterns., Fresh cuts, scratches, bruises, bite marks or other wounds., Excessive rubbing of an area to create a burn., Keeping sharp objects or other items used for self-injury on hand., Wearing long sleeves or long pants to hide self-injury, even in hot weather., Frequent reports of accidental injury., Difficulties in relationships with others., Behaviors and emotions that change quickly and are impulsive, intense and unexpected., Talk of helplessness, hopelessness or worthlessness."
Separation anxiety disorder,"Recurrent and excessive distress about anticipating or being away from home or loved ones, Constant, excessive worry about losing a parent or other loved one to an illness or a disaster, Constant worry that something bad will happen, such as being lost or kidnapped, causing separation from parents or other loved ones, Refusing to be away from home because of fear of separation, Not wanting to be home alone and without a parent or other loved one in the house, Reluctance or refusing to sleep away from home without a parent or other loved one nearby, Repeated nightmares about separation, Frequent complaints of headaches, stomachaches or other symptoms when separation from a parent or other loved one is anticipated"
Sepsis,"Change in mental status., Fast, shallow breathing., Sweating for no clear reason., Feeling lightheaded., Shivering., Symptoms specific to the type of infection, such as painful urination from a urinary tract infection or worsening cough from pneumonia."
"Septal defect, atrial, also known asAtrial septal defect (ASD)","Shortness of breath, especially when exercising, Fatigue, Swelling of legs, feet or belly (abdomen), Irregular heartbeats (arrhythmias), Sensation of a rapid, pounding heartbeat (palpitations) or skipped beats, Whooshing sound that can be heard through a stethoscope (heart murmur)"
"Septal defect, atrioventricular, also known asAtrioventricular canal defect","Blue or gray skin color due to low oxygen levels, Difficulty breathing or rapid breathing, Excessive sweating, Fatigue, Irregular or rapid heartbeat, Lack of appetite, Poor weight gain, Swelling in the legs, ankles and feet, Wheezing"
"Septal defect, ventricular, also known asVentricular septal defect (VSD)","Poor eating, Slow or no physical growth (failure to thrive), Fast breathing or breathlessness, Easy tiring, Whooshing sound when listening to the heart with a stethoscope (heart murmur)"
Septic arthritis,"Existing joint problems. Chronic diseases and conditions that affect your joints — such as osteoarthritis, gout, rheumatoid arthritis or lupus — can increase your risk of septic arthritis, as can previous joint surgery and joint injury., Having an artificial joint. Bacteria can be introduced during joint replacement surgery, or an artificial joint may become infected if germs travel to the joint from a different area of the body through the bloodstream., Taking medications for rheumatoid arthritis. People with rheumatoid arthritis have a further increase in risk because of medications they take that can suppress the immune system, making infections more likely to occur. Diagnosing septic arthritis in people with rheumatoid arthritis is difficult because many of the signs and symptoms are similar., Skin fragility. Skin that breaks easily and heals poorly can give bacteria access to your body. Skin conditions such as psoriasis and eczema increase your risk of septic arthritis, as do infected skin wounds. People who regularly inject drugs also have a higher risk of infection at the site of injection., Weak immune system. People with a weak immune system are at greater risk of septic arthritis. This includes people with diabetes, kidney and liver problems, and those taking drugs that suppress their immune systems., Joint trauma. Animal bites, puncture wounds or cuts over a joint can put you at risk of septic arthritis."
Serotonin syndrome,"Agitation or restlessness, Insomnia, Confusion, Rapid heart rate and high blood pressure, Dilated pupils, Loss of muscle coordination or twitching muscles, High blood pressure, Muscle rigidity, Heavy sweating, Diarrhea, Headache, Shivering, Goose bumps"
"Severe acute respiratory syndrome, also known asSevere acute respiratory syndrome (SARS)","Fever of 100.5 F (38 C) or higher, Dry cough, Shortness of breath"
Severe acute respiratory syndrome (SARS),"Fever of 100.5 F (38 C) or higher, Dry cough, Shortness of breath"
"Severe brain injury, coma, also known asComa","Closed eyes., Depressed brainstem reflexes, such as pupils not responding to light., No responses of limbs except for reflex movements., No response to painful stimuli except for reflex movements., Irregular breathing."
Sex headaches,"A dull ache in the head and neck that intensifies as sexual excitement increases, A sudden, severe, throbbing headache that occurs just before or at the moment of orgasm"
"Sexual dysfunction, female, also known asFemale sexual dysfunction","Low sexual desire. This most common of female sexual dysfunctions involves a lack of sexual interest and willingness to be sexual., Sexual arousal disorder. Your desire for sex might be intact, but you have difficulty with arousal or are unable to become aroused or maintain arousal during sexual activity., Orgasmic disorder. You have persistent or recurrent difficulty in achieving orgasm after sufficient sexual arousal and ongoing stimulation., Sexual pain disorder. You have pain associated with sexual stimulation or vaginal contact."
"Sexual obsession, also known asCompulsive sexual behavior","You have recurrent and intense sexual fantasies, urges and behaviors that take up a lot of your time and feel as if they're beyond your control., You feel driven to do certain sexual behaviors, feel a release of the tension afterward, but also feel guilt or remorse., You've tried unsuccessfully to reduce or control your sexual fantasies, urges or behavior., You use compulsive sexual behavior as an escape from other problems, such as loneliness, depression, anxiety or stress., You continue to engage in sexual behaviors that have serious consequences, such as the potential for getting or giving someone else a sexually transmitted infection, the loss of important relationships, trouble at work, financial strain, or legal problems., You have trouble establishing and maintaining healthy and stable relationships."
Sexually transmitted diseases (STDs),"Sores or bumps on the genitals or in the oral or rectal area, Painful or burning urination, Discharge from the penis, Unusual or odorous vaginal discharge, Unusual vaginal bleeding, Pain during sex, Sore, swollen lymph nodes, particularly in the groin but sometimes more widespread, Lower abdominal pain, Fever, Rash over the trunk, hands or feet"
Shaken baby syndrome,"Extreme fussiness or irritability, Difficulty staying awake, Breathing problems, Poor eating, Vomiting, Pale or bluish skin, Seizures, Paralysis, Coma"
Shellfish allergy,"Hives, Itchy, irritated skin, Nasal stuffiness (congestion), Swelling of the lips, face, tongue and throat, or other parts of the body, Wheezing or trouble breathing, Coughing and choking or a tight feeling in the throat, Belly (abdominal) pain, diarrhea, nausea or vomiting, Dizziness, lightheadedness or fainting"
Shigella infection,"Diarrhea (often containing blood or mucus), Stomach pain or cramps, Fever, Nausea or vomiting"
Shin splints,"You're a runner, especially one beginning a running program, You suddenly increase the duration, frequency or intensity of exercise, You run on uneven terrain, such as hills, or hard surfaces, such as concrete, You're in military training, You have flat feet or high arches"
Shingles,"Pain, burning or tingling, Sensitivity to touch, A red rash that begins a few days after the pain, Fluid-filled blisters that break open and crust over, Itching"
Short bowel syndrome,"Diarrhea, Greasy, foul-smelling stools, Fatigue, Weight loss, Malnutrition, Swelling (edema) in the lower extremities"
"Shoulder dislocation, also known asDislocated shoulder","A visibly deformed or out-of-place shoulder, Swelling or bruising, Intense pain, Inability to move the joint"
"Shy-Drager syndrome, also known asMultiple system atrophy (MSA)","Stiff muscles, Difficulty bending your arms and legs, Slow movement (bradykinesia), Tremors can occur at rest or when moving your arms or legs, Soft voice, Problems with posture and balance"
"SIBO, also known asSmall intestinal bacterial overgrowth (SIBO)","Loss of appetite, Abdominal pain, Nausea, Bloating, An uncomfortable feeling of fullness after eating, Diarrhea, Unintentional weight loss, Malnutrition"
Sick sinus syndrome,"A sensation of rapid, fluttering heartbeats (palpitations), Chest pain or discomfort, Confusion, Dizziness or lightheadedness, Fainting or near fainting, Fatigue, Shortness of breath, Slower pulse (bradycardia)"
Sickle cell anemia,"Anemia. Sickle cells break apart easily and die. Red blood cells usually live for about 120 days before they need to be replaced. But sickle cells typically die in 10 to 20 days, leaving a shortage of red blood cells (anemia). Without enough red blood cells, the body can't get enough oxygen and this causes fatigue., Episodes of pain. Periodic episodes of extreme pain, called pain crises, are a major symptom of sickle cell anemia. Pain develops when sickle-shaped red blood cells block blood flow through tiny blood vessels to your chest, abdomen and joints.
The pain varies in intensity and can last for a few hours to a few days. Some people have only a few pain crises a year. Others have a dozen or more a year. A severe pain crisis requires a hospital stay.
Some adolescents and adults with sickle cell anemia also have chronic pain, which can result from bone and joint damage, ulcers, and other causes., Swelling of hands and feet. The swelling is caused by sickle-shaped red blood cells blocking blood circulation in the hands and feet., Frequent infections. Sickle cells can damage the spleen, increasing vulnerability to infections. Infants and children with sickle cell anemia commonly receive vaccinations and antibiotics to prevent potentially life-threatening infections, such as pneumonia., Delayed growth or puberty. Red blood cells provide the body with the oxygen and nutrients needed for growth. A shortage of healthy red blood cells can slow growth in infants and children and delay puberty in teenagers., Vision problems. Tiny blood vessels that supply the eyes can become plugged with sickle cells. This can damage the retina — the portion of the eye that processes visual images — and lead to vision problems."
"Sin Nombre virus infection, also known asHantavirus pulmonary syndrome","Fever and chills, Muscle aches or pain, Headache"
Sinus headaches,"Pain, pressure and fullness in the cheeks, brow or forehead, Worsening pain if you bend forward or lie down, Stuffy nose, Fatigue, Achy feeling in the upper teeth"
"Sinusitis, acute, also known asAcute sinusitis","Thick, yellow or greenish mucus from the nose (runny nose) or down the back of the throat (postnasal drainage), Blocked or stuffy nose (congestion) causing difficulty breathing through your nose, Pain, tenderness, swelling and pressure around your eyes, cheeks, nose or forehead that worsens when bending over"
"Sinusitis, chronic, also known asChronic sinusitis","Nasal inflammation, Thick, discolored discharge from the nose (runny nose), Drainage down the back of the throat (postnasal drainage), Blocked or stuffy (congested) nose causing difficulty breathing through your nose, Pain, tenderness and swelling around your eyes, cheeks, nose or forehead, Reduced sense of smell and taste"
Sjogren's syndrome,"Dry eyes. Your eyes might burn, itch or feel gritty — as if there's sand in them., Dry mouth. Your mouth might feel like it's full of cotton, making it difficult to swallow or speak."
Skin cancer,"A pearly or waxy bump, A flat, flesh-colored or brown scar-like lesion, A bleeding or scabbing sore that heals and returns"
"Skin cancer, melanoma, also known asMelanoma","A change in an existing mole, The development of a new pigmented or unusual-looking growth on your skin"
"Skin writing, also known asDermatographia (Dermatographism)","Raised, inflamed lines where you scratched., Welts from friction., Swelling., Itching."
"Skin, itchy, also known asItchy skin (pruritus)","Inflamed skin, Scratch marks, Bumps, spots or blisters, Dry, cracked skin, Leathery or scaly patches"
"Skipped heartbeats, also known asHeart palpitations","Beating too fast, Flip-flopping, Fluttering rapidly, Pounding, Skipping beats"
"Slapped cheek disease, also known asParvovirus infection","Fever, Upset stomach, Headache, Runny nose"
Sleep apnea,"Loud snoring., Episodes in which you stop breathing during sleep — which would be reported by another person., Gasping for air during sleep., Awakening with a dry mouth., Morning headache., Difficulty staying asleep, known as insomnia., Excessive daytime sleepiness, known as hypersomnia., Difficulty paying attention while awake., Irritability."
"Sleep apnea in children, obstructive, also known asPediatric obstructive sleep apnea","Snoring., Pauses in breathing., Restless sleep., Snorting, coughing or choking., Mouth breathing., Nighttime sweating., Bed-wetting., Sleep terrors."
"Sleep apnea, central, also known asCentral sleep apnea","Observed episodes of not breathing or abnormal breathing patterns during sleep, Abrupt awakenings accompanied by shortness of breath, Difficulty staying asleep (insomnia), Excessive daytime sleepiness (hypersomnia), Difficulty concentrating, Mood changes, Morning headaches, Snoring"
"Sleep apnea, obstructive, also known asObstructive sleep apnea","Excessive daytime sleepiness, Loud snoring, Observed episodes of stopped breathing during sleep, Abrupt awakenings accompanied by gasping or choking, Awakening with a dry mouth or sore throat, Morning headache, Difficulty concentrating during the day, Mood changes, such as depression or irritability, High blood pressure, Decreased libido"
Sleep disorders,"Book: Mayo Clinic Family Health Book, 5th Edition, Newsletter: Mayo Clinic Health Letter — Digital Edition"
"Sleep terrors, also known asSleep terrors (night terrors)","Begin with a frightening scream or shout, Sit up in bed and appear frightened, Stare wide-eyed, Sweat, breathe heavily, and have a racing pulse, flushed face and dilated pupils, Kick and thrash, Be hard to awaken, and be confused if awakened, Be inconsolable, Have no or little memory of the event the next morning, Possibly, get out of bed and run around the house or have aggressive behavior if blocked or restrained"
Sleep terrors (night terrors),"Begin with a frightening scream or shout, Sit up in bed and appear frightened, Stare wide-eyed, Sweat, breathe heavily, and have a racing pulse, flushed face and dilated pupils, Kick and thrash, Be hard to awaken, and be confused if awakened, Be inconsolable, Have no or little memory of the event the next morning, Possibly, get out of bed and run around the house or have aggressive behavior if blocked or restrained"
